Comment,Sentiment,Emotion,Spam
"Intel fanboys then: INTEL BEST IN GAMING, EVERY FPS COUNTS
Intel Fanboys now: NOBODY NEEDS THAT PERFORMANCE ANYWAY",negative,Neutral,-2
"ok so newb here when it comes to buying something on release date, ive always waited till stock was easy to get. what time do i start trying to click purchase on the 5th, or rephrased, is this available 12:01AM utc?",neutral,Neutral,-2
"Why? How many names changes will it take intel to be competative again? 
Professionals continue to avoid intel spy engines,price fixing, and data
 harvesting microsoft. Enterprise users have moved very quickly to unix 
based systems,more powerful cooler AMD chips that dont have the idea of ",negative,Anger,0
"""It might be truely possible to run gaming on the high end on red"" dude i got 3900x and 5700xt give me a break. crushing 1440p gameplay all day. this shit has been better for like nearly 2 years now",positive,Joy,0
when you realize that AMD was actually the first to make a consumer CPU that passed 5.0Ghz in 2011 with the FX-9590,positive,Neutral,-2
I love how AMD is showing their new CPU is -3% in battlefield lol,positive,Joy,0
"Intel:*press emergency button* we lost the game cmon guys work on the intel 11 gen

Worker: but sir we will finish by the end of June 2021",neutral,Neutral,-2
Why is this on Alan walkers playlist for mask off,neutral,Neutral,-2
It's really amazing how amd has grown over the years..... Lisa su has changed the game❤️,positive,Joy,0
"RAGE'N'FIRE, burn baby burn here we go team red",positive,Joy,0
I feel like AMD is still holding back. Like...A LOT!😂😂,positive,Joy,0
"After my intel core i5 died when my asrock mobo took it and my ram along for for a deathrun  , I decided to go with the new ryzen when the 3000 series came out, and im honestly very glad that I did, go team red!",positive,Joy,0
"Intel's fall from grace started back in year 2000 when they were caught having put locator software in their CPU's. It blew up in their face.
Then recently they limited their CPU's so that a person could no longer choose their OS of choice but had to go with Windows 10.",neutral,Sad,0
"AMD : let's increase clock speed and ipc and improve cache latency
Intel : let's sponsor Linus",negative,Neutral,-2
Cant wait to see some hard numbers on the ipc stats.,positive,Joy,0
My i3 and pentium processor still does the job well.. I'm not going to launch a rocket to own a amd 5k series,neutral,Neutral,-2
Are we going to ignore that ryzen finally put their name right side up instead of sideways? 5:26,neutral,Neutral,-2
I actually didn't expect that sponser intro I laughed,positive,Joy,0
"Zen 3, 4th generation, 5000-series

Ah yes, it's all synced up now.",neutral,Neutral,-2
Intel is going to resurrect the coffin dance meme.,negative,Neutral,-2
"Linus: Intel lost the game


Also Linus: Lets build a gaming pc with an Intel processor.",negative,Sad,0
watching your videos has finally made me tear up my old gaming pc and rebuild a new one using the old case. I have an AzzA Solano1000 case I want to reuse I was wondering what would you use to build using my case. I like all the cooling and the size,neutral,Neutral,-2
I´m just waiting the same thing with Radeon vs Nvidia.,neutral,Neutral,-2
This what happens when the CEO is an enthusiastic engineer and not a greedy corporate hack.,negative,Anger,0
"8:51
Someone please make a Team Rocket pc themed build with the rx6000 series. The ""R"" on the fans are perfect!",neutral,Neutral,-2
3:23 wow listing old ass games to show us how POWERFULL the new CPU will be...genius!,negative,Joy,0
"god news, long live real competition!
Oops, I wanted to write good news :D",positive,Joy,0
MAGA 2020 my friend ! Thank you for being such a great Trump supporter!!!!!,positive,Joy,0
The game is a psychological mind game where you are not to think of the game.,neutral,Neutral,-2
"""its not you, its me""",neutral,Neutral,-2
I like amd for shaking up the CPU market. Love the ryzen which I'm using now. Ryzen 3500 with my rtx 2070. It'll be nice to see the same on team red in gpu.,positive,Joy,0
"4K: "" I'm Here!""
8K: "" Now I""M here!""
1080p Benchmarks: "" I Ain't  going ANYWHERE mother$#@&s!""",neutral,Neutral,-2
"Intel:Ha! We killed the competition so hard boys its time to just sit back and rake in the dough!
6 years pass of AMD being quiet
Intel:Its okay! just keep putting out refreshes we won't ever be challenged! who needs RND when you are the best!
AMD:Introducing Ryzen cpu!",neutral,Neutral,-2
"Intel: coffee lake, comet lake
Zen 3: releases
Also intel: Coffin lake",negative,Neutral,-2
"ahhh, time for a cup of tea so i can enjoy the nostalgia times comin'back",positive,Joy,0
intel: FeelsBadMan,negative,Sad,0
am regretting every second of this video why did i buy core i9,negative,Sad,0
5 GHz is the PC equivalent of warp 10 in star trek,neutral,Joy,0
"AMD Ryzen ZEN 2 : My Cache
AMD Ryzen ZEN 3 : Our Cache",neutral,Joy,0
"Dammit, now I've lost the game",negative,Sad,0
"""always has been.....""",neutral,Neutral,-2
AMD have come back with a bang!,positive,Joy,0
me when i have the amd ryzen 5000: holy crap,positive,Joy,0
AMD showing off the -3% in their performance graphs leads me to believe that the numbers should be pretty accurate.,positive,Neutral,-2
"6:04 Ah yes Intel Rocket LEAGUE, such esports such tryhard",negative,Anger,0
"Comet Lake has been around for over a year now. I'm interested what Intel's next gen is going to be for comparison - hopefully Rocket Lake won't be 14nm again. Unfortunately, max clock speeds are still most important for me personally so I really had hoped for better performance in this announcement. I also think the announced AMD chips are relatively expensive on the mid range - that 5600X isn't a good deal at all compared to the 10600K. I still have no need for 10 to 12 cores, so I'm probably sitting this one out.",neutral,Neutral,-2
So with all these improvements in processors/ graphics cards I’ll be able to run Microsoft flight simulator at 30 frames a second?,neutral,Neutral,-2
"Linus: pauses and begins to ask a question

Me: —>>>>>",neutral,Neutral,-2
"Everyone praising Lisa Su and Jensen for pushing PC gaming beyond the limits
Engineers who worked hard to make it possible: 🥺👍",positive,Joy,0
"""Extra cash into R&D"" ahahahahahahaha",positive,Joy,0
And when you think first amd cpu was an reversed engineered cpu after intel. 🤭,positive,Joy,0
"@6:45 I have partial hearing loss and at times i confuse words with others and often hear 2 words as one like when Linus says ""which means we could see a diarrhoea increase""   lol",neutral,Neutral,-2
AMD finally on top again and I cant afford a new high end gaming pc build. :(,neutral,Sad,0
"Conclusion:
This is what we get when people put a engineer as a CEO of a company instead of greedy old man that only know how to count money.",negative,Anger,0
Linus looks like the kinda dad that tells his kids he loves them before telling them no.,neutral,Neutral,-2
9:08 lmfao that straight face 😂😂😂,positive,Joy,0
"I actually think, they just lost. At least the sentiment.
Maybe it's just me but the price is too high, won't work.",negative,Neutral,-2
3:28 me where pc which can't seven run agar i.o its 100% improvement,neutral,Neutral,-2
"Intel: ""Oh boy I hope we don't get outclassed by any other company""

AMD: Bonjour",neutral,Neutral,-2
I've been running full team red ever since I could build a pc. Have I ever had the best performance? No. Have I been supporting a company I believe in? Yes.,positive,Neutral,-2
I love the ongoing competitive spirit of both intel and amd. It's driving development and we should get better parts at competitive rates. Nice vid Linus and al.,positive,Joy,0
Where the good ol days that I could use my FX as a space heater in the winter 🤣,neutral,Joy,0
"You know what's in my heart though?
Obviously your sponsor!
it's no less than meme now.",negative,Anger,0
This is definitely not the America we remember.,negative,Anger,0
Red and Blue  States..its like unfinished civil war.,negative,Anger,0
This election will probably go to the court,negative,Neutral,-2
Voting after the polls closed?  Thats fraud . Trump is right,negative,Anger,0
Where are the masks at the White House though,neutral,Sad,0
"""It's still a democracy, right?"" - No.",negative,Anger,0
"Whoever wins doesn't really matter just like our votes, at the end of the day we'll all work till we die barely making it day by day year to year, no changes will be made for about 2yrs and no president is as good as the current or as bad as the future. This america and we're all divided and there will be a riot hush and go to bed just to forget about all of this in a week.",negative,Neutral,-2
why'd they stop?,neutral,Neutral,-2
Either way we’re all doomed.,negative,Sad,0
We're screwed.,negative,Anger,0
This Election will come to an end peacefully despite the tension.,neutral,Neutral,-2
Trump won all the States in the 2016 election that we are waiting for now. 4 more years people. I think they are holding back to avoid riots.,neutral,Neutral,-2
Dude bided literally said he won before trump.  They're both being crackhead right now.,negative,Neutral,-2
"From: ""KING OSIRUS"" (aKa)->Chief Sitting Bull. Jesus Wins By A Landslide Victory->WOW!",neutral,Neutral,-2
"When US president tweet about election get deleted on twitter BUT malaysian former prime minister tweet regarding killing millions of French in name of Islam doesn't you know where the world is heading. 
It's now clear election have become propoganda and agenda race for some people to exercise their power.",negative,Sad,0
Won CT. I live here and never met a Biden supporter.,neutral,Neutral,-2
"Legacy media is bias to the left and you can't take them seriously when it comes to politics.   Nate Sliver New York Times, Trump has 30% chance to win Florida, not even  close to that.  Alternative media is and will take off, it is big already.",negative,Sad,0
You can literally feel the bias everywhere against trump,negative,Sad,0
2:44 Beautiful 💋💋love u💋💋,positive,Joy,0
"At least you got 1 thing right, we won't know the results tonight",neutral,Joy,0
strategic Foe Joe Foe Joe Foe Joe Foe Joe Foe Joe Foe Joe,neutral,Neutral,-2
Did mr. Trump really following Mr. Prabowo Subianto foot step?,neutral,Neutral,-2
Trump you will Win!!!,positive,Joy,0
Blue vs Red,neutral,Neutral,-2
Come on Trump president for the Americans people to,neutral,Neutral,-2
Navada lost wages LoL,neutral,Joy,0
"Trump will win, and the corrupt will pay.
We don't care anymore about your lies.",negative,Anger,0
Trump Machambi come on da!!    :*),neutral,Neutral,-2
"Am I the only one who thinks, that the way to vote in U.S.A, is weird or wrong? 🤔",neutral,Sad,0
Predicted 5 presidents in a row. My formula says TRUMP 274. I said this months ago. Bad for Canada. Any thoughts?,neutral,Neutral,-2
It looks like a biden win but win or lose we are still americans,neutral,Neutral,-2
Durbin or Curan???,neutral,Neutral,-2
congratulation Trump from Kazakhstan,positive,Joy,0
"""It'll be Believable"" just tell us the truth damn...",negative,Anger,0
I'm single 😥😥😥😥😥,neutral,Sad,0
Sleepy Joe's going down in history for the first candidate to lose the presidential elections despite voting fraud,neutral,Neutral,-2
"When I saw result on Michigan at progress rate 80%, 
Trump has 2,336,033 votes while Biden has 2,138,145 votes.
However, when the result is updated to progress rate 87%, 
Trump got 291 additional votes(total 2,336,324) and Biden got 131,792 votes(total 2,269,937). ",neutral,Neutral,-2
So rude that cut out Mike Pence talk.  Why couldn’t you wait until he is done?,negative,Anger,0
Where did fraud happen?,neutral,Neutral,-2
BIDEN PRESIDENT,neutral,Neutral,-2
Both Biden and Trump are wrong for the US.,negative,Anger,0
the host is so biased!,negative,Anger,0
I belive you Trump,positive,Joy,0
Unbelievably split down the middle nation.  We need to heal and come together. Division can only bring misery and unwanted outcomes.,neutral,Anger,0
Biden camp says they will win after all votes are in?,neutral,Neutral,-2
Very happy 😍💋 💝💖♥️❤️,positive,Joy,0
GO TRUMP,positive,Neutral,-2
"Biden urges patience?? Isnt he the one who said he's winning when he isnt at the time he said it, and the one cheating with the numerous mail in ballots bought off people??? Hmm? Why else is he so sure Pennsylvania is his even tho Trump is 700000 votes ahead at the time?.. I call cheater.",negative,Neutral,-2
"Michigan just swung blue, all eyes should be on Nevada right now, if the Mojave flips red and the map stays as it is, the electoral college will end in a tie. Biden will have 4 additional pts but it will not matter, as both candidates would theoretically be over or have reached the 270 threshold. Both parties did the Republic a great disservice by declaring themselves the winner despite the explicit implication that neither party would concede or accept the conclusion until all votes were accounted for. If this is handled wrong this could result in mass civil unrest. With or without the supreme court.",neutral,Neutral,-2
Oh yeah. Do you love me? 😍💋 💝💖❤️,positive,Joy,0
it’s no surprise that 300k Democrats ’postal votes will disappear when the post office supports Trump.,neutral,Neutral,-2
"If Trump wins, dont blame the Afro American community.  Biden ran a weak campaign,  and didnt Earn the Black vote that he took for  so granted. He brought had no Agenda or tangibles.
 If their is any Blame to be handed out for the results, please deliver on the Latinx  community and White women who wanted secure their suburban neighbourhoods.",neutral,Neutral,-2
The dems are scared!!,neutral,Sad,0
THEY TRYING TO RIG THE ELECTIONS FOR BIDEN !!!,negative,Anger,0
Love you 💋💋😘😘❤️💯,positive,Joy,0
"So Biden said he thinks he won, trump said he thinks he won. What the hell is the difference",negative,Neutral,-2
This is the most democratic biased news channel I have ever seen,negative,Anger,0
Trump 2020 <3,positive,Joy,0
"irrelevant but china are taking all empty containers in Asia and some other countries in Asia such as Vietnam, Thailand, Malaysia, Japan... are suffering many damages about it, we can not deliver on time for our customers in the EU, US, Canada... because we can not get a booking for empty containers to ship. Please help us, why they want to take all containers even this year is pandemic, exporting will decrease in all countries and in fact, it should be have more empty containers for this year, there is no containers mean can not ship the goods to abroad.",neutral,Neutral,-2
Trump clearly won but establishment trying to steal election.,neutral,Sad,0
I'm Single 😍😥,neutral,Sad,0
"People are scared to go out and vote for Trump due to those rioters, and this is why Trump may lose the votes. Biden is a criminal and this will be the END of the USA as we all know it. America, you will be sorry for not standing up and being counted, Biden will destroy the USA, and it's all your fault for being cowards and letting those criminal organisations beat you.",negative,Sad,0
Trump won re-election. It’s over. Dem Governors just refusing to admit defeat.,negative,Anger,0
"How people cannot see that what is happening is violation of our rights is beyond my understanding. As soon as they realised that the president was going to win they stopped counting the votes! Then you have the Pennsylvania District Attorney tweeting in advance before Election Day that they are going to win, which is so alarming! You have Florida who was was so well organised that they managed to count all the votes. Why couldn’t Pennsylvania do that? Because they are corrupt as hell. Then say they still have a million votes to count, what the hell were you doing until now then? Why would you have a million votes just sitting there instead of counting them as they came in? Goes to show how corrupt the lefties are. I wasn’t a Trump supporter before, but what the Democrats and the media have doing is just disgusting. The more know about the lefties the more I support Trump. Democrats are the ones creating a divide not Trump!",neutral,Neutral,-2
TRUMP <3,positive,Joy,0
Trump Wil Win. Biased News Wont admit it.,positive,Joy,0
This is the reason why they say mail in the votes.. Just to hold up the election & stimulus checks. They are all working together!,negative,Neutral,-2
Trump2020,positive,Neutral,-2
So Nice 💘💘💘💘💘💘,positive,Joy,0
Support Biden support China 🇨🇳 love you 😘,positive,Joy,0
Biden & Crazy Kamala will turn the country into Venezula in 4 years.,negative,Anger,0
RED WAVE STRONG - TRUMP2020,neutral,Neutral,-2
Woww.. amazing what trump can do huh?  amazing really to see a developed country president do what a third world country president would. He is really a crooked hoaxster smh,negative,Anger,0
"Any incumbent president who claims victory before all the votes are counted [when he or she doesn't have the concession of their opponent] is, effectively, attempting a COUP, and therefore such a claim should AUTOMATICALLY be considered a FORFEIT of holding the office. In addition, that person should be liable to prosecution without any protection of presidential immunity whatsoever. This act must be considered one of the biggest possible sins committed against a democratic system, and should have absolute and dire consequences.",negative,Neutral,-2
Bias news,negative,Anger,0
Lmao trump aint cheating. People love him soooo damn much. The only people who dont like him is media and the hollywood........ biden is senile and lying and likes ukranian. They will try to rigd it for ⁶ 100%. Trump 2020 <3,neutral,Joy,0
Civil war required for US,neutral,Neutral,-2
The President selection is from Our Almighty God. so who may select we do have no Matter.,neutral,Joy,0
So who won as of now?,neutral,Neutral,-2
President Trump wins! China must compensate all countries for the losses caused by the CCP virus. May all countries abandon the “Belt and Road” fraud project.,neutral,Neutral,-2
"We're at the crossroads, and if the dems manage to steal the election(the only way they can win).....might as well kiss it all goodbye(cause you'll never turn it around).....",neutral,Anger,0
Media hates trump cuz he knows how they work and who pays them to lie,negative,Anger,0
Phir trump (sarkar) government. Result will 300 par (above 300). 🤣🤣🤣🤣,neutral,Joy,0
Who will be win in election,neutral,Neutral,-2
Trump 2020 prepare for lefty meltdown.,neutral,Neutral,-2
doesn't everybody understand they have to win the Democrats think they have to win they have to pay China back Shane is on there but they're going to try everything they can which they already have they never gonna beat Trump and yes commentator very biased,negative,Neutral,-2
Biden came on first and stated they are going to win so don't make him out to be the good guy.  he is crooked.,negative,Sad,0
"It is clear to us that we have to defend our interests, and to do so consistently, not boorishly or rudely, in both the sphere of the economy and of defence. The pressure will end when the USA will be “persuaded” that the methods they are using are ineffective, counterproductive, and harmful to all ~ Vladimir Putin 2014.",neutral,Neutral,-2
We love you uncle Trump,positive,Joy,0
Biden is a crook,negative,Anger,0
Trump 2020 Trump 2024 Trump 2028 Trump 2032,neutral,Neutral,-2
Your comments above are false absolutely False & you will pay karma. Trump is a clear winner. you are just trying to screw with peoples minds and cause War. Think before you act like  a Banana Court.,negative,Anger,0
"Trump’s victory is our survival and highway to the future.
Without Trump, there is famine, poverty and hell on earth!",positive,Anger,0
It doesn't matter who won. Nothing is gonna change,negative,Neutral,-2
If biden steals the presidency we'll be in a war year and a half from now. And you will all be speaking chinese.   Trump hating dems  shame,negative,Sad,0
Twitter blocked a 3rd Tweet by Trump. This is the President of the US during an election.  They're helping the dems steal the election.,negative,Anger,0
Congratulations to Pres Trump!,positive,Joy,0
Hollywood and media trying sooo hard for Biden. Lady gaga is gona tell you who to vote for. Rip democracy. Old senile lying ukranian 😂😂 !! Trump all the way baby,neutral,Joy,0
biden is tryna to get his votes trough social unrest.This is a communist way of thinking its social engineering i don't like it I stand for freedom and Jesus not for COMMUNISTS whos tryna ENSLAVE you.,negative,Anger,0
Trump up big in all the swing states he won and the democrats r trying to steal this election by counting votes that aren't there,neutral,Neutral,-2
Congratulations President Trump!,positive,Joy,0
"Don’t take the covid 19 vaccine aka the rfid chip/microchip aka the mark of the beast doing so your giving ur soul 2 the devil don’t take it even if they kill you don’t give your soul to satan you been warned 

Have You Accepted Jesus Christ As Your Personal Lord And Savior ????🙏🏽🙏🏽🙏🏽",neutral,Neutral,-2
Trump we love you.  👏,positive,Joy,0
Nowone normall would vote for biden !,neutral,Neutral,-2
He is ginning his base up to radicalize.,neutral,Sad,0
Global news is obviously  bought,negative,Sad,0
Trump will win thw election...,neutral,Neutral,-2
"It's game over. Biden won. Wisconsin flipped, Michigane will flip any minute",neutral,Neutral,-2
Indian nationalists love Trump. Waiting for a red wave!,positive,Joy,0
"If mr trump  he give somebody  chance to keel and cussout where he take us..? how can we respect each other's...?
Why he didn't  take action  first place  i mean jogging flow  and white man who get keel with police.",neutral,Neutral,-2
Democrats are refusing to announce that Trump won because they're trying to flood the system with fake votes and they need more time to get them,negative,Anger,0
"Japan, Taiwan, vietnam, Philippines, India are supporting Trump.  Only Trump hands on solving the threats from Communist China in Pacific countries.❤️🇺🇸👍
Democrat has been last two decades tied with Communist China, asian countries experienced through their conspiracies.",positive,Joy,0
Trump will win..,positive,Joy,0
Lock down valnurable people only. For others it's just a cold. Cases are nothing. Simple.,neutral,Neutral,-2
"Trump should win this re-election, Because if its Biden it will be total chaos and racist and hypocrite people in America is dangerous",negative,Sad,0
Push Trump!,neutral,Neutral,-2
These are sham elections to bring Trump type criminal to power again just like they did with Obama case.,negative,Sad,0
The President selection is from Our Almighty God. so who may select we do have no Matter.,neutral,Neutral,-2
Trump 2020!!!!,positive,Joy,0
Biden is the worst candidate in human history. Media and hollywood cant even help him. Lady gaga and taylor swift john legend should all stick to partying on all these islands and singing. 😂 american people want Trump and need Trump. Enough of the lies about him. Biden is a bad dude !!! Trump 2020 <3,negative,Sad,0
Why do you guys hate trump so much.   He's the only one fighting for your freedom how can you not see it,neutral,Sad,0
"This news channel isn't interesting. I don't get why elections always have a couple states lagging, but apparently ALL the other states got everything counted with no problems. fishy. maybe investigative journalist what in the ""globe"" is wrong with the states that can't get it all together?",negative,Sad,0
"TRUMP won.  Mainstream media can't take it, the left are trying to rig it.",positive,Joy,0
Trump looks deformed...just an observation,neutral,Neutral,-2
Global News is a biased and fake Canadian news channel,negative,Anger,0
"Whoever wins, make America strong and great !",positive,Joy,0
"Obviously Trump won this election. Not surprised the democrats suddenly call things off. The blue party always plays dirty. 

A total fraud on their own people from behalf of these thugs disguised as ""democrats."" Biden is a joke.",negative,Anger,0
"Don’t take the covid 19 vaccine aka the rfid chip/microchip aka the mark of the beast doing so your giving ur soul 2 the devil don’t take it even if they kill you don’t give your soul to satan you been warned 

Have You Accepted Jesus Christ As Your Personal Lord And Savior ????🙏🏽🙏🏽🙏🏽",neutral,Neutral,-2
I honestly don’t get how so many Americans don’t see this person for who they are. Trump and the Republican Party are poison for this continent. How would Abraham Lincoln feel about this current state of affairs?,neutral,Sad,0
STop airing propaganda Global news. He is pulling a Putin. Get off.,negative,Anger,0
Trump once more ✌️,positive,Joy,0
Trump will definitely win.,positive,Joy,0
Trump is a fraud...,negative,Anger,0
Trump go go.  Biden go back go back,neutral,Neutral,-2
The media is lying again.  They only stopped in swing states that Trump was leading.   This opens up for a box of harvested Dem votes.   Project Veritas has proved this.,negative,Anger,0
"People are not happy dying of Corona, they want more to die.",negative,Anger,0
you guys make more of a deal when Apple comes up with a new color for it's almost 20 years old design than when some other company come up with such a novelty,neutral,Neutral,-2
"Just bought this for uni, and I really hope that the second screen will help me be more productive. So far, the second screen has been great for 3D modeling and Photoshop, as I have been able to place tool bars there so that the main screen is not covered by clutter. I also love putting Spotify down there, so that I never have to switch tabs just to change songs. I really don't get why this laptop gets so much critique by y'all, you get what you pay for and while this might not be a gaming laptop it's portable and great in so many other ways!",positive,Joy,0
"This laptop looks a bit crazy and cumbersome at first, then it starts to look interesting with possibilities",positive,Joy,0
3.3lbs isnt that heavy....im actually pretty impressed by that weight. I mean gaming laptops are easily much heavier than that and they dont have 2 screens,neutral,Joy,0
"C'mon guys, what are the thermals? MX 250 2gb or 4gb? Is it upgradable? This is a showcase, not a review.",neutral,Sad,0
"Lmao a ""low rent Android app"", Devindra? The slander lmao and yet I knew exactly what you were talking about 😭",neutral,Sad,0
Who is using MicroSD cards so often that we need a reader in the laptop?! Instead of full size ?,neutral,Neutral,-2
I know what I'm going to spend my stimulus check on.,neutral,Neutral,-2
"""you can get a cheaper dell xps 13""
yeah because who NEEDS dedicated graphics right?",neutral,Neutral,-2
"In other reviews of the Zenbook Duo, the main screen in not touch-enabled. How is this one touch-enabled?🤔",neutral,Sad,0
i think its great for writing papers for students. when you can open multiple windows with articles to compare.,positive,Joy,0
My dad has the 4k pro model of this laptop. Its an amazing laptop!,positive,Joy,0
"I think it really depends on how you're going to use it. I can see a compelling use-case for video-editing, twitch game live cast, or for stock trading. If you will  be using it for typing, school work, or other work not requiring multitasking, then you don't need it.",neutral,Neutral,-2
Expensive for manager to do excel 😂,negative,Joy,0
3:44 shoutout @thestraightpipes,neutral,Neutral,-2
Did you just compare the weight of this laptop to a MacBook AIR???,neutral,Neutral,-2
"Anyone can provide one year use review? Did you feel any problems along the way related to screen, battery life or performance? Please share",neutral,Neutral,-2
"I hope the asus duo next year has quadro gpu t2000 or quadro rtx 3000, it would be much helpful for engineers doing multitasking",neutral,Neutral,-2
3:15 credits to straightpipes👍,positive,Joy,0
It looks like a giant 2DS. Where’s my wallet,neutral,Sad,0
"In Most Videos ..
It shows that main Screen isn’t Touch..
In this ... Both Screens are touch able..
Pro version has that feature..",neutral,Neutral,-2
I want this laptop (well maybe not the laptop itself but more of the concept and design) it would fit so much with my workflow,positive,Joy,0
I want to buy one one day.,positive,Joy,0
I absolutely love this laptop!! Is the best one I've ever owned. I was contemplating on this and the HP x360. So happy i choose the Asus only downfall is the ability to fold the laptop in a tablet form. But having the extra screen was more helpful than the ability to fold it. Lastly i haven't used a laptop in about 3 years so having the keyboard in the front and a small touchpad aon the side didn't bother me at all.,positive,Joy,0
name of the first background music please?,neutral,Neutral,-2
The design has been updated,neutral,Neutral,-2
Omg.. I want this right now😯,positive,Neutral,-2
How long does it last while doing video conferencing?,neutral,Neutral,-2
Never buying asus laptops again. The damn touchpad stopped working and i tried to fix it but it got so annoying.  I punched that screen. What a waste,negative,Anger,0
Awesome laptop for solo game dev!,positive,Joy,0
"And purchased, thanks.",positive,Joy,0
5:21 you are touching the main screen. Many people or review site are saying there is no touch on the main screen for Duo its only for Pro version. Can you please clarify,neutral,Neutral,-2
The OG 2019 version is now worth it since they pricing it lower than the original now  the Integrate version is price like 1100usd here in ph add a little bit with mx series,neutral,Neutral,-2
Thunderbolt should be standard for usb c ports,neutral,Neutral,-2
Background music name??,neutral,Neutral,-2
La vidéo concerne Asus duo pro !!!!!!!!!!,neutral,Neutral,-2
This laptop can get up to 48 gb of ram and with the new 2080 super gtx max q .. so where are all these info ?,neutral,Sad,0
Is the store link in the description the one he is actually using in the video? I mean the one in the link does not say main screen has touch capabilities (older ux481 doesnt have touch main screen),neutral,Neutral,-2
Hi. If we wanna do share screen in zoom meeting .. can we share the screen pad display?,neutral,Neutral,-2
"Hi any chance that you review the 
ASUS
VivoBook Flip 14 TM420IA-EC061R, AMD Ryzen 7 4700U (8x 2.0GHz), 16GB ? thanks",neutral,Neutral,-2
Is the new version?,neutral,Neutral,-2
This is an almost year old model. They definitely need to update the specs with at least hopefully a GTX 1650 MaxQ or MX350.,neutral,Neutral,-2
can it be charged via USB or does it still have chargers like from 20 years ago ???,neutral,Neutral,-2
Can we play all games on it??,neutral,Neutral,-2
Zenbook Duo is not touchscreen. I own one,neutral,Neutral,-2
A 14” laptop with two screens? Not for me thanks. Good review though.,positive,Neutral,-2
3kg?,neutral,Sad,0
Will it be better than the new macbook air?,neutral,Neutral,-2
Can be the second display turned off?,neutral,Neutral,-2
Bro I bought this machine 1 month ago and now it's not working and I didnt knew  it was touch enabled in the main screen and I tried it in mine and it was not working for me and now the system is dead and when I contacted asus service centre for replacement since it was dead within a month and I was just using it for my casual use(watching movies and others).Asus said I won't get replacement cause replacement is there for only a week from the day of purchase and iam now helpless as they are avoiding me and I won't get replacement.i literally spent all my savings on it for my architecture studies and I don't know what to do next.please comment down below.🙏🙏,neutral,Sad,0
Not enough ram especially with it not being upgradable. No much multitasking happening with this,negative,Sad,0
"In Thailand, it's sold for 1000 $ and I've gotta that's a damn sweet deal considering the second screen and specs",positive,Joy,0
Can you use it with an eGPU like Razer Core?,neutral,Neutral,-2
anyone owns one ? i would like to have some feedbacks about the touchpad ergonomy. does it worth it ?,neutral,Neutral,-2
Touchscreen on both the displays,neutral,Neutral,-2
"In my country, the xps 13 is actually 250$  more expensive while having not as powerful hardwares, namely smaller ssd and weaker gpu. So I went with it. I'm happy so far. The thermal, for anyone is questioning, is really good, it rarely get hotter than 70°C, both cpu and gpu. The gpu is mx250 2gb 10w variant, nothing extremely powerful about it but I could play CS:GO and GTA V. It also handle large PSD file in Photoshop perfectly. I'm a designer, and the pen come with the laptop and the second screen are very useful. Oh, the battery life is excellent to, really impressive. The only thing I don't like about this laptop is the trackpad, it's so cramped and small, the keyboard is surprisingly good though, the key switch is awesome, but I don't mind it that much because I use external mouse and keyboard. And another problem is the lid of the laptop, those metallic circular brush patterns look cool but it is a fingerprints magnet and scratches fairly easily, also some parts of the lid got slight discoloration because of my sweat.  I would prefer a matte anodized finish like Dell XPS.",positive,Neutral,-2
Ay-soos,neutral,Neutral,-2
"My dad bought me this laptop for University for £1500. I’ve been using it for 3 months now so if you want to know what it’s like, ask me. (I actually game on it mostly lol)",neutral,Joy,0
Bro this is zenbook pro duo,neutral,Neutral,-2
wait!!!!!!   the main screen of duo is touch ??,neutral,Neutral,-2
"Which would be a better buy?
Asus Zenbook Duo UX481FL or Asus Zenbook 15 UX534FT? My usage would be around coding for Deep Learning, content creation using FL studio and other general tasks.",neutral,Neutral,-2
Where's the reviewer from?,neutral,Neutral,-2
"Hi, I'm an architecture student, I want this computer to use programs like autocad sketchup, to render drawing, but I wonder if it uninstalls these programs?",neutral,Neutral,-2
"Is this the new 14"" one?",neutral,Neutral,-2
Zenbook duo is not touch screen both screen you have gave me Worng information . In this video you touched both screen 😂🤣,negative,Neutral,-2
"5:26 how is ur zenbook duo's main screen a touch screen.
even I own an Asus zenbook duo and only the secondary display is touch.",neutral,Neutral,-2
"Wondering ?is this a good investment? can this handle content creation,3d design,streaming,video editing,graphic design,rendering etc? or can i have more hardware at this price in a desktop computer?",neutral,Neutral,-2
My Zenbook Duo's main display doesn't support touch. Can I know why?,neutral,Neutral,-2
"Wait, the main screen have touchscreen? Mine does not have that feature.",neutral,Neutral,-2
"Engadget: Complaining about 3.3 pounds being heavy
Me who is used to lugging around a 5 pound 2019 Helios 300: ""3.3 pounds??? That's super light!!""",neutral,Joy,0
"""Integrate it in the system"" 😂 Boy lemme see how you get the code of  Windows , rewrite the system to integrate it and then maintain it with every update. Does anybody actually know what they are doing at this company?",negative,Joy,0
Pro?,neutral,Neutral,-2
Why don’t they make that key pad a lcd screen as well!,negative,Joy,0
you need Ryzen in there!,neutral,Joy,0
What is a pound? How much does it weigh in kilograms?,neutral,Neutral,-2
Hmm,neutral,Neutral,-2
hey could i have it?,neutral,Neutral,-2
gimmick!,negative,Anger,0
